iter	Passed	Remaining
0	3	1586
1	6	1553
2	9	1521
3	12	1526
4	15	1523
5	18	1499
6	20	1474
7	23	1461
8	26	1447
9	29	1436
10	31	1422
11	34	1408
12	37	1397
13	39	1388
14	42	1375
15	44	1360
16	47	1351
17	50	1339
18	52	1329
19	55	1320
20	57	1310
21	59	1302
22	62	1295
23	64	1287
24	67	1278
25	69	1271
26	72	1264
27	74	1259
28	77	1254
29	79	1245
30	82	1242
31	84	1237
32	87	1231
33	89	1227
34	91	1221
35	94	1217
36	96	1213
37	99	1207
38	101	1201
39	104	1198
40	106	1196
41	109	1193
42	111	1188
43	114	1184
44	116	1180
45	119	1175
46	121	1170
47	123	1166
48	126	1162
49	128	1158
50	131	1154
51	133	1149
52	136	1151
53	139	1149
54	141	1145
55	143	1141
56	146	1138
57	148	1135
58	151	1132
59	153	1129
60	156	1125
61	158	1122
62	161	1119
63	163	1117
64	166	1113
65	168	1110
66	171	1106
67	173	1103
68	176	1100
69	178	1097
70	181	1095
71	183	1092
72	186	1089
73	188	1085
74	190	1082
75	193	1078
76	196	1077
77	198	1076
78	201	1072
79	203	1069
80	206	1065
81	208	1062
82	211	1060
83	213	1058
84	216	1055
85	218	1052
86	220	1048
87	223	1046
88	226	1046
89	229	1044
90	231	1041
91	234	1039
92	236	1035
93	239	1032
94	241	1030
95	244	1027
96	246	1024
97	249	1021
98	251	1018
99	253	1015
100	256	1012
101	258	1009
102	261	1006
103	263	1004
104	266	1001
105	268	998
106	271	996
107	274	994
108	276	991
109	278	988
110	281	985
111	283	983
112	286	980
113	288	977
114	291	974
115	293	971
116	295	968
117	298	965
118	300	963
119	303	960
120	305	957
121	307	954
122	310	951
123	312	948
124	315	945
125	317	942
126	319	939
127	322	936
128	324	933
129	326	930
130	329	927
131	331	924
132	334	922
133	336	919
134	339	917
135	341	914
136	344	911
137	346	909
138	349	906
139	351	904
140	353	901
141	356	898
142	358	896
143	361	893
144	363	890
145	366	888
146	368	885
147	371	882
148	373	880
149	376	877
150	378	875
151	380	872
152	383	869
153	385	866
154	388	864
155	390	861
156	393	858
157	395	856
158	398	853
159	400	851
160	402	848
161	405	845
162	408	843
163	410	841
164	413	839
165	415	836
166	418	834
167	420	831
168	423	828
169	425	826
170	428	823
171	430	821
172	433	818
173	435	816
174	437	813
175	440	810
176	442	808
177	445	805
178	447	802
179	449	799
180	452	797
181	455	795
182	457	792
183	459	789
184	462	787
185	464	784
186	467	781
187	469	779
188	472	776
189	474	774
190	476	771
191	479	768
192	481	766
193	484	764
194	487	762
195	489	759
196	492	757
197	495	755
198	497	752
199	499	749
200	502	747
201	504	744
202	507	742
203	510	740
204	512	737
205	515	735
206	517	732
207	520	730
208	523	728
209	526	726
210	528	724
211	531	722
212	533	719
213	536	716
214	538	713
215	541	711
216	543	708
217	546	706
218	548	704
219	551	701
220	553	699
221	556	696
222	558	693
223	561	691
224	563	689
225	566	686
226	568	684
227	571	681
228	573	678
229	576	676
230	578	674
231	581	672
232	584	669
233	586	667
234	589	664
235	592	662
236	594	659
237	597	657
238	599	654
239	602	652
240	604	649
241	606	647
242	609	644
243	612	642
244	614	639
245	617	637
246	619	634
247	622	632
248	625	630
249	628	628
250	630	625
251	633	623
252	635	620
253	638	618
254	640	615
255	642	612
256	645	610
257	647	607
258	650	604
259	652	602
260	654	599
261	657	597
262	659	594
263	662	591
264	664	589
265	666	586
266	669	584
267	671	581
268	674	579
269	677	576
270	679	574
271	682	572
272	685	570
273	688	567
274	690	565
275	693	562
276	695	559
277	698	557
278	700	554
279	702	552
280	705	549
281	707	546
282	709	544
283	712	541
284	714	539
285	717	536
286	719	534
287	722	532
288	725	529
289	728	527
290	730	524
291	732	522
292	735	519
293	737	516
294	740	514
295	742	511
296	745	509
297	748	507
298	750	504
299	753	502
300	755	499
301	757	496
302	760	494
303	762	491
304	765	489
305	767	486
306	770	484
307	772	481
308	775	479
309	777	476
310	779	474
311	782	471
312	785	469
313	788	467
314	790	464
315	793	461
316	795	459
317	798	456
318	800	454
319	802	451
320	805	449
321	807	446
322	810	444
323	812	441
324	815	438
325	817	436
326	820	434
327	823	431
328	825	429
329	827	426
330	830	424
331	832	421
332	835	418
333	837	416
334	840	413
335	842	411
336	845	408
337	848	406
338	851	404
339	853	401
340	855	399
341	858	396
342	861	394
343	863	391
344	865	389
345	868	386
346	870	383
347	873	381
348	875	378
349	878	376
350	880	373
351	882	371
352	885	368
353	887	365
354	889	363
355	891	360
356	894	358
357	896	355
358	898	353
359	901	350
360	903	347
361	905	345
362	908	342
363	911	340
364	913	337
365	915	335
366	918	332
367	920	330
368	923	327
369	925	325
370	928	322
371	930	320
372	933	317
373	935	315
374	938	312
375	940	310
376	942	307
377	945	305
378	947	302
379	950	300
380	952	297
381	954	294
382	957	292
383	960	290
384	962	287
385	964	284
386	967	282
387	969	279
388	972	277
389	974	274
390	977	272
391	979	269
392	982	267
393	984	264
394	987	262
395	989	259
396	991	257
397	994	254
398	996	252
399	998	249
400	1001	247
401	1003	244
402	1005	242
403	1008	239
404	1010	237
405	1012	234
406	1015	232
407	1017	229
408	1020	226
409	1022	224
410	1024	221
411	1027	219
412	1029	216
413	1032	214
414	1034	211
415	1037	209
416	1039	206
417	1042	204
418	1044	201
419	1047	199
420	1049	196
421	1052	194
422	1054	191
423	1057	189
424	1059	186
425	1061	184
426	1064	181
427	1066	179
428	1068	176
429	1071	174
430	1073	171
431	1076	169
432	1078	166
433	1081	164
434	1084	162
435	1086	159
436	1089	157
437	1091	154
438	1094	152
439	1096	149
440	1099	147
441	1101	144
442	1104	142
443	1106	139
444	1109	137
445	1111	134
446	1114	132
447	1116	129
448	1118	127
449	1121	124
450	1123	122
451	1126	119
452	1128	117
453	1131	114
454	1133	112
455	1135	109
456	1138	107
457	1140	104
458	1143	102
459	1145	99
460	1148	97
461	1150	94
462	1153	92
463	1155	89
464	1158	87
465	1160	84
466	1162	82
467	1165	79
468	1168	77
469	1170	74
470	1173	72
471	1175	69
472	1178	67
473	1180	64
474	1183	62
475	1185	59
476	1188	57
477	1190	54
478	1192	52
479	1195	49
480	1197	47
481	1199	44
482	1202	42
483	1204	39
484	1207	37
485	1210	34
486	1212	32
487	1214	29
488	1217	27
489	1219	24
490	1222	22
491	1224	19
492	1227	17
493	1229	14
494	1232	12
495	1234	9
496	1237	7
497	1239	4
498	1242	2
499	1244	0
